,origin,Unnamed: 0,text,author.userName,misinformation,stance,isUSRelated,notes,opinion_label,true_label,claimbuster_score
18,T3,1503390,"This govt is summed up by that Jenrick clip on @Channel4News
A corrupt minister, who cares far more about his own power than doing the right thing, lies to the country about the Refugee Convention to justify his party’s dog-whistling cruelty and cover up their failure. Rancid.",13sarahmurphy,O,P,0,"not familiar with Robert Jenrick, a British politician, and his statements or actions regarding the Refugee Convention.",1,,0.5004491321
19,T4,91338,"@pmdfoster @AdamBienkov @FT Prejudice instead of progress.
When ‘freedom of movement’ is a red line denying opportunities for our own citizens, for fear of angry reactions to a more honest public debate about immigration… it’s a sure sign that you’ve failed and you will continue to fail. Dead end politics.",13sarahmurphy,O,P,0,,1,,0.314789422
20,T2,1202100,Up to 60 migrants including six children are brought ashore at Dover https://t.co/Sf46WJmVyi via @MailOnline,2b_freeforever,T,U,0,,0,1.0,0.7847659065
21,T4,619181,Asylum seeker rapes 15-year-old girl after his deportation flight was blocked by cabin crew https://t.co/HqKH8UGnRJ,2b_freeforever,T,U,0,,0,1.0,0.6811477539
22,T2,1121678,"But the scum that are arriving here are not asylum seekers. They pay £,000's for their passage over here. They arrive in their designer gear with their smart phones. They are fighting age males. Avoiding fighting for their own country no doubt whilst scrounging from ours.",2b_freeforever,E,A,0,,0,0.0,0.7328489224
23,T3,1523458,Two thugs who murdered refugee in mistaken identity attack are jailed https://t.co/wBVmbyDZRX via @MailOnline,2b_freeforever,T,U,0,,0,1.0,0.7434132708
24,T2,1206016,Desperate staff buy pizza and roll mats for Channel migrants https://t.co/UG0atneFQ7 via @MailOnline red,2b_freeforever,T,A,0,,0,1.0,0.4661379764
25,T4,738026,"""...Some countries, like Venezuela, aren’t cooperative with deportations and won’t take their own citizens back, yet the Biden admin continues to import Venezuelans into the U.S. by the tens of thousands via this program...""

This is against current law, which makes the Biden Administration an alien smuggling operation in violation of Title 8 USC 1324.",2scottsherG,F,A,1,,0,0.0,0.8388941185
26,T4,143123,"I sure hope Border Patrol searched all those backpacks.  They can search without any PC or warrants due to the border search authority.  But it really looks like they don’t have the manpower there to have done it thoroughly.  Perhaps they will do it at processing, but that makes it dangerous to transport.  It’s just unreal how bad this is.",2scottsherG,T,A,1,,0,1.0,0.6938472983
27,T3,1577648,@AliBradleyTV HSI has been detailed to several areas of the border for a while now.  Mostly at ELP recently.,2scottsherG,T,A,1,,0,1.0,0.6859552489
28,T4,30073,@MarkSKrikorian It’s an illegal immigration benefit.,2scottsherG,O,A,1,,1,,0.5517336749
29,T4,26513,@BillMelugin_ @FoxNews Brandon Judd is a joke. Never ever ever use him as the voice of immigration enforcement.  He is a disgrace to the Border Patrol.  He is Mayorkas’ right hand man.,2scottsherG,O,A,1,,1,,0.3758929759
30,T4,563142,"@CIS_org @VMarsai @mri_hungary @NumbersUSA @GeorgeFishman2 I’m not sure that Cuba is actually in the driver’s seat regarding emigration.

“Over the last year [2022], nearly 250,000 Cubans, more than 2 percent of the island’s 11 million population, have migrated to the [United States]”. https://t.co/ZNl5etSett",8USC12,T,U,1,,0,1.0,0.8464496057
31,T2,1344795,"The last thing I spoke about was the concept of Public Charge, 8 U.S.C. § 1182(a)(4)—continuously on the books since 1882. It’s a reason an alien may be denied legal admission to the U.S., deported from it, or simply denied a Green Card. 1/2 https://t.co/gEPlIfbXjk",8USC12,T,U,1,,0,1.0,0.5221844179
32,T4,92673,"@joey_blau @Next_andReady @CrimeInNYC They are Border Patrol Agents, not “officers”, unless you mean those Officers at Ports of Entry who don’t work for the “[B]order [P]atrol” at all. Also, to qualify for a “hearing”, an alien must first per 8 U.S.C. § 1225(b)(1)(A)(II), be found credible by an Asylum Officer. 1/2",8USC12,T,U,1,,0,1.0,0.637988761
33,T4,108432,"@MadMardigan69 @sbzprez @DeborahSeneff @HawleyMO 3. While true “[t]he Constitution is silent on immigration” Art. I, Sec. 8, Cl. 4 allowed Congress to “establish an uniform Rule of Naturalization” but courts have ruled “plenary power” ‘explicitly grants’ “[t]he federal gov’t [] power to exclude or remove [aliens] from the [US].",8USC12,T,U,1,,0,1.0,0.5565624465
34,T4,736995,"@CBP *There are no consequences for migrants who enter the U.S. unlawfully by crossing the border between ports of entry.

There, PAO pogues, I fixed your first sentence for you.",8USC12,F,A,1,,0,0.0,0.6595106957
35,T4,638118,"@gungzwei @BonkPolitics @PolitiBunny @CortesSteve The phrase ‘any country’ in D.C.’s bill seems easy for almost anyone but you apparently to understand, and “authorized to work” is not per 8 CFR § 274a.12 limited to aliens with a legal immigration status, e.g., the 30,000 DACA recipients NYC estimates live in the city.",8USC12,T,U,1,,0,1.0,0.5061846008
36,T2,1297234,"@BaileyWarren202 @LarryGCPA @BreitbartNews The article doesn't say anything about them being “given asylum” or establish  “[T]rump [A]dministration broke the law”, it says they demand amnesty based on their claims, but both were unlawfully present in the U.S. and therefore amenable to removal per 8 U.S.C. § 1227(a)(1)(B).",8USC12,T,A,1,,0,1.0,0.7577433535
37,T2,1361886,"@WellsBlackerby I might have to give some thought to doing a Space that’s UAC, TVP(R)A, Asylum, and DACA progressively since they’re interconnected.",8USC12,O,U,1,,1,,0.3961269807
38,T3,1566612,"@TheSCMayor @JohnCornyn @BillFOXLA Asylum is a discretionary benefit that has to be earned; it isn’t “offered”, and on average, each year, just 30% of aliens seeking it in Immigration Court receive it.",8USC12,T,A,1,,0,1.0,0.8077527208
39,T4,728627,"@paulak33063332 @chiproytx Very few aliens each year request asylum, voting by aliens mostly likely occurs by those who didn’t recently arrive, and deportation can’t, absent some specific exceptions, occur without a hearing. That said, a hearing can be completed within weeks if the alien is detained.",8USC12,O,U,1,,1,,0.7326811764
40,T3,1544066,"@i_p_a_1 Given historical data, most aren’t likely seeking asylum in the first place.",8USC12,E,A,1,,0,0.0,0.6131133067
41,T3,1499583,@WallclimberBB @Anna_Giaritelli Narrator: Collected biometrics would not “spread the word of deterrence”; prosecution and or deportation would.,8USC12,O,U,1,,1,,0.5454066935
42,T4,176613,"Senators are expected to square off Wednesday, largely along party lines, over whether to proceed with a full-scale trial of Homeland Security Secretary Alejandro Mayorkas over his handling of immigration policy and the southern border. https://t.co/bLZ3paVO7x",ABC,T,U,1,,0,1.0,0.4259159644
43,T2,1261602,A group of Haitian asylum seekers who crossed into Texas as part of a migration surge last September filed a lawsuit against the Biden administration this week over alleged mistreatment by U.S. immigration authorities. https://t.co/VtdNliZXzb https://t.co/cKxrQFrge5,ABC,T,U,1,,0,1.0,0.719481758
44,T4,163189,Senators are about to be sworn in as jurors in the impeachment trial of Homeland Security Sec. Alejandro Mayorkas over what Republicans say is his failure to comply with the law on immigration policy. https://t.co/nrBZiRI9ET,ABC,T,U,1,,0,1.0,0.6180607983
45,T3,1505961,Thousands of migrants in Mexico have been clambering onto dangerous freight trains in hopes of reaching the United States before a tough migration policy ends this week. https://t.co/KxAxf5tIQm,ABC,T,U,1,,0,1.0,0.7869035579
46,T2,1222062,Senior U.S. and Russian officials formally launch special talks on strategic stability as part of a flurry of diplomatic activity in Europe this week aimed at defusing tensions over a Russian military buildup on the border with Ukraine. https://t.co/sEj1GKz8Cn,ABC,NR,NR,NR,NR,0,,0.6705349072
47,T2,1252258,Refugees and asylum seekers evacuated after fires lit at Melbourne detention hotel https://t.co/jg0Ft5uiMx,abcnews,T,I,0,,0,1.0,0.6910023716
48,T2,1358232,Migrants like Mohsin are 'helping shore-up regional Australia' — but securing visas is hard https://t.co/8hDmdoHK9u,abcnews,T,P,0,,0,1.0,0.4975995319
49,T2,1403525,Government MP urges Immigration Minister not to deport Novak Djokovic https://t.co/fuytyZqV18,abcnews,T,I,0,,0,1.0,0.6437637
50,T3,1557013,Tears of joy': Sydney man wins permanent residency as immigration visa saga ends https://t.co/1jdr8UsKxs,abcnews,T,P,0,,0,1.0,0.6627084606
51,T4,804898,"30 years ago, a genocide was taking place in Rwanda.  

Four Corners reported on the aftermath in a refugee camp in Zaire, now known as the DRC.

Watch the 2024 Four Corners Rwanda documentary ‘The Wanted’ on iview: https://t.co/nQ2TtIrjAH 

#4Corners #Rwanda #History #ABCNews https://t.co/Yy0wx314LR",abcnews,T,U,0,,0,1.0,0.6577591629
52,T2,1106212,"We will say it again: This policy is cruel and only causes harm.

President Biden must keep his word and restore access to asylum at the border. https://t.co/T8fE6mThqh",ACLU,O,P,0,,1,,0.4078443176
53,T4,93703,"This current law is reminiscent of the “alien land laws” of the 20th century, which were used by white people to bar Chinese and Japanese immigrants from settling in their towns and cities.

Those laws violated the fundamental right to equal protection— just like Florida’s does.",ACLU,T,P,0,,0,1.0,0.7398457423
54,T4,93704,"By putting much of Florida off-limits to people who simply want to buy a home, this law expands anti-Asian discrimination.

We represent four Chinese immigrants who live, work, study, and raise families here, as well as a local real estate firm, whose business has been harmed.",ACLU,T,P,0,,0,1.0,0.7913503486
55,T2,1190833,"Our client Angie's son died following a border patrol vehicle pursuit.

This case is tragic — but not uncommon.

Border patrol agents have too much discretion and face zero accountability. This must change. https://t.co/Mv0NVaKdAW",ACLU,T,P,0,,0,1.0,0.5764199285
56,T3,1514833,"At its core, the new rule mimics two Trump-era policies that were blocked by the courts.

This ban contradicts our nation’s laws upholding the right to seek asylum.

Make no mistake: The fight is far from over.",ACLU,O,P,1,"this is a reply. The whole post: The Biden administration has released a new asylum ban that takes effect tomorrow, May 11th.

The ban closes off a pathway to safety for the majority of refugees in desperate need of it.

For people who traveled through another country to get to the U.S., the policy bans asylum for everyone except:
• The few people who applied for and were denied asylum in another country.
• Those able to obtain one of the limited asylum appointments through a flawed CBP app.

At its core, the new rule mimics two Trump-era policies that were blocked by the courts.

This ban contradicts our nation’s laws upholding the right to seek asylum.

Make no mistake: The fight is far from over.",1,,0.6636193265
57,T2,1206101,"Joe Biden is letting illegal migrants into our country without being tested for COVID.

This is an impeachable offense.",ACTBrigitte,T,A,1,,0,1.0,0.7498441881
58,T2,1257670,"Illegal migrants are here in violation of US law, they should be deported in mass.",ACTBrigitte,E,A,1,,0,0.0,0.7348415032
59,T2,1442564,"First it’s non-citizens voting in elections, next it’s illegal migrants.",ACTBrigitte,F,A,1,,0,0.0,0.5552614227
60,T2,1269551,Illegal immigrants should NOT be voting in American elections. https://t.co/unwfdXACca,ACTBrigitte,O,A,1,,1,,0.5546984577
61,T3,1545720,"Shipping a few buses of illegal migrants to New York sends a message, but it’s just a political stunt.

I would like to see Governor Greg Abbott fight for Texas and DEFEND the Texas-Mexico border from illegal migrants.

Stand up to the federal government!",ACTBrigitte,O,A,1,,1,,0.5431801387
62,T3,1538077,"Title 42’s end might raise already-high migration levels still further, largely because of misinformation about what it means. But numbers won’t stay high for long. The number of people “bottled up” is finite, and harsh new blocks on asylum are coming.

https://t.co/a5bcwzQQcO",adam_wola,E,A,1,,0,0.0,0.6153387935
63,T2,1369893,"In this first Weekly Border Update of the year:

* Remain in Mexico has been applied to nearly 250 people
* Migrant removal flights increased from 2020 to 2021
* Asylum claims up 87% in Mexico
* Texas's troubled National Guard mission

https://t.co/oAMo7Eub5m",adam_wola,T,I,1,,0,1.0,0.8704515664
64,T2,1479234,"Sources:

7 ports of entry: San Diego, Calexico, Nogales, El Paso, Eagle Pass, Laredo, Brownsville https://t.co/wYuijlwZ51

Monthly totals for RMx 1.0 (click on ""All"" immigration courts) https://t.co/x5oVgPxcSO",adam_wola,T,U,1,"Report on ports of entry, no claims made",0,1.0,0.5968823187
65,T4,701645,"In March 481 orgs asked the Biden admin to stop deporting people to Haiti. But yesterday, they sent a plane.

Why? A ""Sister Souljah"" campaign tactic to look tough on migrants and distance from rights defenders?

Perhaps. But this wasn't scolding a rapper. This endangered people. https://t.co/XsnP9QELZt",adam_wola,T,P,1,,0,1.0,0.81964127
66,T3,1560886,"Title 42 was used to expel migrants from the border 2.8 million times. That’s 50% of all migrant encounters since March 2020. 64% of single adults, 22% of all family members.

https://t.co/a5bcwzQQcO https://t.co/sIxndu6MWS",adam_wola,T,A,1,,0,1.0,0.7969805094
67,T3,1502509,"@BefittingFacts @Ajaychennai2 @MakeItAQuote @RyanGirdusky @USTechWorkers @MarkSKrikorian @AnnCoulter @kausmickey @NumbersUSA

Right idea wrong direction.

It's time for a remittance tax for everyone working on a visa in the US - or holding a green card which was derived form a ""non-immigrant, temporary"" visa.",Aethelleas,O,A,1,,1,,0.6144067796
68,T3,1566124,"@FAIRImmigration A sitting president is now going to unleash the full powers of the US Federal Government to invade America from the Southern Border.

&amp; Both parties are simply watching, pondering that next &amp; bigger check.

Meanwhile, India-1st migrants run our Social Media &amp; Technology Networks.",Aethelleas,E,A,1,,0,0.0,0.5788325964
69,T2,1357735,"@lapislazuli7890 @tencor_7144 Not on H1B &amp; India Green cards. 

He's the main sponsor of most of the bills, and has nearly pushed through a 10-year India-only Green-Card Giveaway (for what is already 700,000 fake ""high tech"" Indians, who will then stuff that queue with 2 million more).

He has to go. 
Sooner.",Aethelleas,F,A,1,,0,0.0,0.8383605989
70,T2,1459498,"@8USC12 Scoring Candidates on Legal &amp; Illegal Immigration in Close 2022 Elections.

Rating key Political Players of recent / ongoing proposed immigration legislation.

Review of largest visa categories, linked visa pipelines, &amp; major geographic sources of these visa programs (Visas 101).",Aethelleas,T,U,1,,0,1.0,0.5597060982
71,T4,669492,@MadhusudanRaj His Karens love Mass Legal Immigration &amp; will happily cut Modi some slack &amp; hand him another massive pile of visas &amp; his network a tranche of Green Cards to take over key slots in MBAmerica.,Aethelleas,O,A,1,,1,,0.5232796568
72,T2,1260996,"“A group of Haitian migrants filed a federal class action lawsuit against the U.S. government on Monday after their experience at the border in Del Rio, Texas, which included interactions with @CBP agents on horseback shown in now infamous photos.” https://t.co/zaDBZAKoJn",AILANational,T,P,1,,0,1.0,0.7472045069
73,T2,1129214,"“The #BidenAdministration brought 36 migrants back to the U.S. for court hearings on Monday under the reimposed #RemainInMexico program and expanded its enforcement of that program into San Diego, even as it continues efforts to end the policy.” https://t.co/FPUFyenGp7",AILANational,T,U,1,,0,1.0,0.3600731562
74,T2,1358034,"“GBH News has obtained a series of letters from #detainees...about racially biased deportation officers, inability to communicate with mental health staff due to language barriers...and being in close quarters with COVID-19 positive prisoners.""  https://t.co/DUiQuLsPBG",AILANational,T,P,1,,0,1.0,0.6019336799
75,T2,1320503,"""The trend of declining immigration numbers began long before the pandemic...The net international migration figures have been falling every year since 2016...policy changes also seem to have had an impact."" https://t.co/bX7UN22Ilg",AILANational,T,U,1,,0,1.0,0.7112257314
76,T3,1521553,"Why are AILA and others against H.R. 2?
❌ ends asylum
❌ jails immigrant families
❌ resumes Trump’s wall
❌eliminates protections for unaccompanied children 
❌ restarts ‘Remain in Mexico’
❌ increases USCIS backlog

READ more: https://t.co/bQCA9LByAb",AILANational,F,P,1,,0,0.0,0.2804435579
77,T2,1246121,"“@TRACReports at @SyracuseU analyzed six years worth of immigration courts nationwide from 2016 to 2021 and found the #asylum denial rate tended to be lower in immigration courts in New York, San Francisco, Baltimore, Chicago and Arlington, Virginia.” https://t.co/Ax8cybr2Qm",AILANational,T,U,1,,0,1.0,0.8424853773
78,T4,199660,"AILA issued a statement for a Senate Judiciary Committee hearing, ""Legacy of Harm: Eliminating the Abuse of Solitary Confinement,"" stating that #immigration detention is exceptionally costly and Congress should instead fund effective alternatives: https://t.co/PmCBfn9Igy",AILANational,T,P,1,,0,1.0,0.6283194926
79,T4,197126,"""State-based solutions to 'border brain,' alone, will not meet the needs of American families and businesses. Instead, we need a bipartisan focus on sweeping #immigration legal reform to make America stronger, together."" #AILANDA24
https://t.co/DMSuqaSArF",AILANational,O,P,1,,1,,0.5238296239
80,T2,1261505,"“Last year a third of all immigrants in #asylum cases did not have representation, according to data analyzed by @TRACReports. Over the past two decades, just 10% of asylum seekers without legal representation won their cases."" https://t.co/nzkVvv9fU5",AILANational,T,P,1,,0,1.0,0.8372343934
81,T4,627424,"Israeli forces have detained 30 Palestinians throughout the occupied West Bank in the last two days of raids, with half of those arrested taken from the Nur Shams refugee camp, according to the Palestinian Prisoner’s Society.

🔴 LIVE updates: https://t.co/SGY7usjGGY https://t.co/a3hu054Tta",AJEnglish,NR,NR,NR,NR,0,,0.8654044436
82,T2,1210393,"Bodies of at least 27 migrants, including a baby and two women, have washed ashore in western Libya, says Red Crescent https://t.co/C0AlxWBPzz https://t.co/wMuHTjywvz",AJEnglish,T,U,0,,0,1.0,0.8110947933
83,T4,609454,"The destruction of the Nuseirat refugee camp in Gaza — in pictures.

🔗: https://t.co/F0uQMbMhgV https://t.co/UUxrrhJaVP",AJEnglish,NR,NR,NR,NR,0,,0.5789929118
84,T4,686085,"The Israeli army left a trail of destruction when it withdrew from the Nuseirat refugee camp in Gaza.

— in pictures https://t.co/F0uQMbLJrn https://t.co/lyl3U3hczS",AJEnglish,NR,NR,NR,NR,0,,0.5288242757
85,T2,1132602,European countries have not done enough to ensure safe access to vaccines and certificates for undocumented migrants. — writes Alyna C Smith for #AJOpinion ⤵️ https://t.co/B7VXGiEFJb,AJEnglish,T,P,0,,0,1.0,0.6179748171
86,T2,1460011,"""Keep speaking up for us.”

Controversy over Novak Djokovic’s detention is the ‘perfect opportunity’ for Australia to create a more humane immigration policy, say rights group https://t.co/NhPlohE3If https://t.co/cLEXcB4Zfk",AJEnglish,T,P,0,,0,1.0,0.3199953777
87,T4,782949,"Palestinian residents in the area allege Israeli forces are using recordings of children crying to lure and target civilians, as shown in a verified video by Al Jazeera from Gaza's Nuseirat refugee camp.

🔴 LIVE updates: https://t.co/FAinimT9T6 https://t.co/KUm7neoiLv",AJEnglish,NR,NR,NR,NR,0,,0.6954985003
88,T4,691982,"At least four Palestinians have been killed in an Israeli attack on the al-Shati refugee camp, west of Gaza City, reports Palestinian news agency Wafa. 

🔴 LIVE updates: https://t.co/VQCiID7kDs https://t.co/cv3N9TfFue",AJEnglish,NR,NR,NR,,0,,0.8355560512
89,T2,1272176,"“It’s not that we want to be here, but we have no way out of this.”

Haitian asylum seekers reel in southern Mexico https://t.co/SJvNAWBd4e https://t.co/LMDPrPwvrl",AJEnglish,E,U,1,,0,0.0,0.451189169
90,T2,1289654,"For many refugees and migrants across the world, the onset of winter marks the beginning of a potentially life-threatening period. 

— #AJOpinion by @hans_kluge ⤵️ https://t.co/CVUW4e5nhx",AJEnglish,O,U,1,,1,,0.6271005444
91,T3,1553139,"The US is preparing for the end of Title 42, a controversial public health order that has allowed the authorities to turn away most asylum seekers at the Mexico border. https://t.co/9v3YmdTbgI",AJEnglish,T,P,1,,0,1.0,0.7725007628
92,T4,782038,"Israel continues to escalate its attacks across the Gaza Strip, targeting refugee camps and killing dozens of Palestinians.

🔴 Follow our LIVE coverage: https://t.co/3U0oom5lU6 https://t.co/POgBavfGWA",AJEnglish,NR,NR,NR,NR,0,,0.7604246729
93,T2,1352192,"@SenSanders @jagan_gopi Look who’s talking!! They @HouseDemocrats keeps healthcare immigrants, who are working hard day night in US for others being deprived of immigration benefits. @USCIS @USCISDirector getting EAD simply is toughest part here! 🙄",AKAMI0007,T,P,1,,0,1.0,0.5560490977
94,T2,1387484,@VP Did you ate #immigrationreform in today’s breakfast or last night dinner during talks with @POTUS ? #greencardbacklog is a serious issue ! #H4EAD #legaldreammers,AKAMI0007,O,P,1,,1,,0.3574062781
95,T2,1343210,"@SBN26907113 @legalHSKpanda @USCIS @USCISDirector @doug_rand I am telling you @USCIS is becoming a joke to immigration services! They can’t handle the load very clear! No accountability no ownership, just take money and forget machine, they are now! It’s simply low IQ employees running this show, if it’s my company I would have fired them",AKAMI0007,E,P,1,,0,0.0,0.473549916
96,T2,1243755,@DcWalaDesi Haha! I am living legally in this country can’t even travel freely back to my country due to limited visa issued in @USAndIndia but surprisingly people are voting illegally seriously!! Should I rethink to became an illegal immigrants better? @POTUS @VP @JudiciaryDems @GOP,AKAMI0007,F,I,1,,0,0.0,0.7168232554
97,T3,1523217,@aakashg0 H1b or non immigrant can’t do side hustles. USCIS will throw out of country sadly!!,AKAMI0007,T,P,1,,0,1.0,0.6023135818
98,T3,1534466,@USCIS What about legal immigrants in backlogs? Think about them? Show some empathy! Shameless USCIS,AKAMI0007,O,P,1,,1,,0.6225384141
99,T3,1532672,"@USCIS Even at 96, we legal immigrants won’t be technically receiving our GC due to 100 plus yr backlogged. Do you feel any shame? #GreenCardBacklog",AKAMI0007,E,U,1,,0,0.0,0.7310236395
100,T2,1075026,"The Home Office’s claim to @Dianewriter that all asylum claims are considered in line with current policy is clearly untrue, since their current policy recognises that everyone sent back to Syria is at risk of being tortured unless they’re an obvious Assad supporter https://t.co/HmxAXUhfR9",AlasdairMack66,O,P,0,unverified,1,,0.6930020576
101,T2,1302697,"Great letter here on the U.K. government’s asylum plans, from @JaneHutt and @ShonaRobison for the devolved governments",AlasdairMack66,T,P,0,,0,1.0,0.3727770917
102,T2,1168076,"A great example - and there are many more, eg in electoral reform or asylum policy - of how fundamentally lacking in real political courage Blair was, how unwilling to embrace far-reaching change to the parameters set by the rightwing establishment",AlasdairMack66,E,U,0,,0,0.0,0.2859329639
103,T3,1492686,"Meanwhile in the US, the Biden administration has come up with its own grim plans to make asylum seekers someone else’s problem",AlasdairMack66,F,A,1,,0,0.0,0.6090143069
104,T2,1433772,"“Patel isn’t the first politician to overstate her experiences of adversity… The dodgy backstory matters, however, because it illustrates how hard it is to differentiate between worthy and unworthy refugees.”

Well worth a read.

‘With Literally Nothing’ https://t.co/fWCG3tD8xi",AlasdairMack66,O,A,0,Una coded the stance as Unsure,1,,0.2031069874
105,T4,170350,"@cuntasaurus22 @Gabby_J_Yay @griptmedia People in white collar jobs, the professional middle classes in journalism, law, medicine etc won't come out to protest in case they are identified on camera I suspect.  The working classes who suffer most from immigration will come out",Alexandernewry,O,A,0,,1,,0.4476528447
106,T4,5132,"Today I learn the Brazilian delivery driver who intervened with the Algerian is standing an an MEP.

This follows on the heels of the Imam @DrUmarAlQadri announcing he's standing too.

Any Immigrant in Ireland can vote in these elections. 

Who will represent the Irish?",Alexandernewry,F,A,0,,0,0.0,0.542280392
107,T4,95404,"@SSpiller4751 @IrishmanIRL They have been blocked from protesting at the Dail, 

They batter people off the road to allow Fakeugees to rock up in your village.

They lie about the impact of a referendum on immigration.

They try and railroad an EU Migration Pact through the Dai.

Democracy is failing.",Alexandernewry,E,A,0,,0,0.0,0.4949833626
108,T4,95360,"@IrishmanIRL They don't allow protest at the Dail.

They batter people off the road to allow Fakeugees to rock up in your village.

They lie about the impact of a referendum on immigration.

They try and railroad an EU Migration Pact through the Dail the people are deeply worried about.",Alexandernewry,E,A,0,,0,0.0,0.4275620167
109,T4,95463,"@PaulMcauliffe Wow amazing. Try and bribe the plebs.

The game is coming to an end and it begins and ends with Immigration",Alexandernewry,O,A,0,,1,,0.3374711434
110,T4,448460,"@rtenews But we are making great progress in being unable to define a woman and have taken 250k immigrants in one year, many without passports. 

Sounds like a recipe for success and social stability.",Alexandernewry,E,A,0,,0,0.0,0.7222046891
111,T4,223655,The EU may not care if Ukraine loses the War (certainly the US Republicans don't) but a huge failed State with millions more Ukrainian immigrants headed to the EU might create pause for thought..,Alexandernewry,O,A,0,,1,,0.6526716905
112,T4,171705,@RoryHearneGaffs @derspiegel Your mate Holly Cairns is another open borders fanatic so can't take your views on this seriously given the pressure immigration is putting on social cohesion and housing.,Alexandernewry,O,A,0,,1,,0.3567312395
113,T3,1555470,"@griptmedia WTF. How does a Georgian (repeat, a Georgian??) get on a plane and claim asylum in Ireland, get himself a car(?), drive it into some people and bite a policewoman?? 

So many questions........",Alexandernewry,E,A,0,,0,0.0,0.1625047301
